"","Gender","Ageband5yrs90plus","Count","PopulationType"
"1","1","0-4",1795.2,"Standard"
"2","1","5-9",1614.7,"Standard"
"3","1","10-14",1660.9,"Standard"
"4","1","15-19",1801.3,"Standard"
"5","1","20-24",1924.6,"Standard"
"6","1","25-29",1919.6,"Standard"
"7","1","30-34",1853,"Standard"
"8","1","35-39",1845.1,"Standard"
"9","1","40-44",2026.1,"Standard"
"10","1","45-49",2034.6,"Standard"
"11","1","50-54",1798.4,"Standard"
"12","1","55-59",1576.5,"Standard"
"13","1","60-64",1652.6,"Standard"
"14","1","65-69",1325,"Standard"
"15","1","70-74",1027.9,"Standard"
"16","1","75-79",810.7,"Standard"
"17","1","80-84",557.2,"Standard"
"18","1","85-89",295.8,"Standard"
"19","1","90+",118.4,"Standard"
"20","F","0-4",1711.8,"Standard"
"21","F","5-9",1539.5,"Standard"
"22","F","10-14",1583,"Standard"
"23","F","15-19",1719.8,"Standard"
"24","F","20-24",1884.2,"Standard"
"25","F","25-29",1923.2,"Standard"
"26","F","30-34",1851.4,"Standard"
"27","F","35-39",1858,"Standard"
"28","F","40-44",2068.1,"Standard"
"29","F","45-49",2078.2,"Standard"
"30","F","50-54",1826.6,"Standard"
"31","F","55-59",1614,"Standard"
"32","F","60-64",1714.1,"Standard"
"33","F","65-69",1401.1,"Standard"
"34","F","70-74",1141,"Standard"
"35","F","75-79",976.6,"Standard"
"36","F","80-84",788.1,"Standard"
"37","F","85-89",532.6,"Standard"
"38","F","90+",321.9,"Standard"
"39","3","15-19",1581,"Study"
"40","3","20-24",8035,"Study"
"41","3","25-29",13891,"Study"
"42","3","30-34",15781,"Study"
"43","3","35-39",13429,"Study"
"44","3","40-44",11307,"Study"
"45","3","45-49",10366,"Study"
"46","3","50-54",8933,"Study"
"47","3","55-59",7149,"Study"
"48","3","60-64",6218,"Study"
"49","3","65-69",5521,"Study"
"50","3","70-74",4232,"Study"
"51","3","75-79",3427,"Study"
"52","3","80-84",2430,"Study"
"53","3","85-89",1634,"Study"
"54","3","90+",1307,"Study"
"55","4","15-19",1721,"Study"
"56","4","20-24",7340,"Study"
"57","4","25-29",11306,"Study"
"58","4","30-34",14672,"Study"
"59","4","35-39",14917,"Study"
"60","4","40-44",14024,"Study"
"61","4","45-49",12820,"Study"
"62","4","50-54",10946,"Study"
"63","4","55-59",8022,"Study"
"64","4","60-64",6463,"Study"
"65","4","65-69",5436,"Study"
"66","4","70-74",4042,"Study"
"67","4","75-79",3088,"Study"
"68","4","80-84",1990,"Study"
"69","4","85-89",1170,"Study"
"70","4","90+",594,"Study"
